"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N119HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N119NN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N119SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N119US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N120EE",2014,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-231",2,379,0,"Turbo-fan"
"N120HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N120SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N12135",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N12163",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N121AN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N121HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N121SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N121UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N12216",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N12218",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N12221",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N12225",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N122HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N122SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N122US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N123HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N123NN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N123UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N124HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N124SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N124US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N12540",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N125AA",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N125HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N125SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N125UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N126AN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N126HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N12754",2002,"Fixed wing multi engine","BOEING","737-7V3",2,149,0,"Turbo-fan"
"N127AA",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N127HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N127SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N127UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N128AN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N128HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N128SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N128UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N129AA",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N129HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N130AN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N130HQ",2008,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N130SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N131EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N131HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N131NN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N131SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N13227",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N13248",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N132AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N132EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N132HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N132SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N133AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N133EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N133HQ",2008,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N133SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N134AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N134EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N134HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N134SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N135EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N135HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N135NN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N135SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N136AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N136EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N136HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N136SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N13716",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N13718",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N13720",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N13750",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N137AA",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N137EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N137HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N138AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N138EV",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N138HQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N138SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N13975",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N13978",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N13988",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N13989",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N139AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N139SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N140AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N140SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N14105",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N14158",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N14180",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N141NN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N141SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N14203",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N14214",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14219",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14228",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14230",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14231",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14235",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14237",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14240",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14242",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14249",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N14250",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N142AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N142SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N143AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N143SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N144AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N144SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N14542",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N145AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N145SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N146AA",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N146PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N146SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N14704",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N14731",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N14735",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N147AA",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N147PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N148AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N148SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N14916",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N149AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N149SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N150NN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N150SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N150UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N151AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N151SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N151UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N152AA",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N152SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N152UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N153AN",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N153PQ",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N153SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N153UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N154AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N154SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N154UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N155NN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N155UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N156AN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N156SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N156UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N15710",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N15712",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N15751",1999,"Fixed wing multi engine","BOEING","737-71Q",2,149,0,"Turbo-fan"
"N157AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N157SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N157UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N158AN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N15983",2000,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N159AN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N160AN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N160SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N16170",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N16178",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
"N161AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N161PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N161SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N161UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N16217",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N16234",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N162AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N162PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N162SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N162UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N163AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N163SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N163US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N164NN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N164SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N165NN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N165SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N165US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N166NN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N166PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N166SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N16701",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N16703",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N16709",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N16732",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N167AN",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N167SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N167US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N168SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N16981",1999,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,0,"Turbo-fan"
"N169UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N170PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N170US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,0,"Turbo-fan"
"N17115",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,0,"Turbo-fan"
